#TYPE Microsoft.PowerShell.Commands.MatchInfo
"IgnoreCase","LineNumber","Line","Filename","Path","Pattern","Context","Matches"
"True","6","PN: 000_ADAPTER_ABSOLUTE SYSTEM | Name: Part1.7 | Size: Not Measurable","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","9","  [DEBUG] Document-level STL success. Size: 1384769","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","11","PN: INPUT PART  | Name: INPUT PART_01.1 | Size: 232.24 x 282.08 x 97.57","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","14","  [DEBUG] Document-level STL success. Size: 375973","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","16","PN: INPUT PART_02 | Name: Copy (1) of INPUT PART_01.1 | Size: 203.25 x 1115.55 x 36.03","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","19","  [DEBUG] Document-level STL success. Size: 1141732","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","21","PN: OUTPUT_PART | Name: OUTPUT_PART.1 | Size: 104.68 x 210.86 x 105.59","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","24","  [DEBUG] Document-level STL success. Size: 1141732","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","26","PN: FINAL_PART | Name: FINAL_PART.1 | Size: 104.68 x 210.86 x 105.59","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","31","PN: ADPATER_GENERAL | Name: ADPATER_GENERAL.1 | Size: Not Measurable","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","36","PN: ADAPTER_LOWER_AND_UPPER_DIE | Name: ADAPTER_LOWER_AND_UPPER_DIE.1 | Size: Not Measurable","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","39","  [DEBUG] Document-level STL success. Size: 5208939","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","41","PN: PRESS DATA_C4_LINE | Name: PRESS DATA_.1 | Size: 4000.0 x 2000.0 x 300.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","44","  [DEBUG] Document-level STL success. Size: 571","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","46","PN: 000_DIE_TIMING_DIAGRAM_AND_DESIGN_CALCULATION_1302DD | Name: 000_DIE_TIMING_DIAGRAM_AND_DESIGN_CALCULATION_1302DD.1 | Size: 0.0 x 800.0 x 500.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","49","  [DEBUG] Document-level STL success. Size: 1563778","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
